year,sending_country_iso,receiving_country_iso,participants
2014,RO,EL,60
2014,RO,ES,337
2014,RO,FI,19
2014,RO,FR,505
2014,RO,HR,15
2014,RO,HU,252
2014,RO,IE,16
2014,RO,IS,5
2014,RO,IT,278
2014,RO,LI,3
2014,RO,LT,14
2014,RO,LV,7
2014,RO,MT,15
2014,RO,NL,48
2014,RO,NO,47
2014,RO,PL,156
2014,RO,PT,174
2014,RO,SE,13
2014,RO,SI,10
2014,RO,SK,18
2014,RO,TR,138
2014,RO,UK,63
2014,RS,AT,1
2014,RS,DE,5
2014,RS,ES,2
2014,RS,FR,3
2014,RS,HU,1
2014,RS,IT,1
2014,RS,LT,4
2014,RS,NL,1
2014,RS,NO,2
2014,RS,PL,1
2014,RS,PT,1
2014,RS,SE,2
2014,RS,SI,1
2014,RS,SK,2
2014,RU,BE,1
2014,RU,CZ,1
2014,RU,DE,14
2014,RU,EE,2
2014,RU,ES,8
2014,RU,FI,1
2014,RU,FR,8
2014,RU,IE,2
2014,RU,IT,6
2014,RU,LT,2
2014,RU,NO,2
2014,RU,PL,1
2014,RU,SI,2
2014,RU,SK,1
2014,RU,UK,1
2014,SE,AT,103
2014,SE,BE,92
2014,SE,CY,1
2014,SE,CZ,50
2014,SE,DE,323
2014,SE,DK,54
2014,SE,EE,7
2014,SE,EL,9
2014,SE,ES,255
2014,SE,FI,27
2014,SE,FR,388
2014,SE,HR,3
2014,SE,HU,29
2014,SE,IE,47
2014,SE,IS,16
2014,SE,IT,124
2014,SE,LT,5
2014,SE,LV,1
2014,SE,MT,3
2014,SE,NL,205
2014,SE,NO,33
2014,SE,PL,25
2014,SE,PT,49
2014,SE,RO,3
2014,SE,SI,4
2014,SE,SK,3
2014,SE,TR,42
2014,SE,UK,412
2014,SI,AT,107
2014,SI,BE,35
2014,SI,CY,3
2014,SI,CZ,91
2014,SI,DE,197
2014,SI,DK,19
2014,SI,EE,10
2014,SI,EL,9
2014,SI,ES,118
2014,SI,FI,25
2014,SI,FR,60
2014,SI,HR,35
2014,SI,HU,13
2014,SI,IE,18
2014,SI,IT,31
2014,SI,JO,3
2014,SI,LT,5
2014,SI,LU,1
2014,SI,LV,1
2014,SI,MK,3
2014,SI,MT,4
2014,SI,NL,53
2014,SI,NO,9
2014,SI,PL,47
2014,SI,PT,85
2014,SI,RO,1
2014,SI,SE,28
2014,SI,SK,15
2014,SI,TR,22
2014,SI,UK,45
2014,SK,AM,1
2014,SK,AT,83
2014,SK,BE,60
2014,SK,BG,16
2014,SK,CY,1
2014,SK,CZ,367
2014,SK,DE,273
2014,SK,DK,26
2014,SK,EE,24
2014,SK,EL,29
2014,SK,ES,166
2014,SK,FI,79
2014,SK,FR,129
2014,SK,GE,1
2014,SK,HR,29
2014,SK,HU,55
2014,SK,IE,16
2014,SK,IS,8
2014,SK,IT,86
2014,SK,LT,34
2014,SK,LV,29
2014,SK,MK,3
2014,SK,MT,4
2014,SK,NL,33
2014,SK,NO,22
2014,SK,PL,154
2014,SK,PT,89
2014,SK,RO,5
2014,SK,RU,4
2014,SK,SE,22
2014,SK,SI,43
2014,SK,TR,46
2014,SK,UK,41
2014,TN,DE,1
2014,TN,FR,5
2014,TN,RO,2
2014,TR,AT,140
2014,TR,BE,161
2014,TR,BG,40
2014,TR,CY,1
2014,TR,CZ,362
2014,TR,DE,1209
2014,TR,DK,56
2014,TR,EE,39
2014,TR,EL,82
2014,TR,ES,513
2014,TR,FI,50
2014,TR,FR,424
2014,TR,HR,30
2014,TR,HU,288
2014,TR,IE,23
2014,TR,IS,1
2014,TR,IT,676
2014,TR,LT,294
2014,TR,LU,1
2014,TR,LV,85
2014,TR,MT,4
2014,TR,NL,224
2014,TR,NO,3
2014,TR,PL,1981
2014,TR,PT,352
2014,TR,RO,267
2014,TR,SE,129
2014,TR,SI,101
2014,TR,SK,98
2014,TR,UA,1
2014,TR,UK,146
2014,UA,AT,2
2014,UA,BE,1
2014,UA,BG,1
2014,UA,CZ,2
2014,UA,DE,24
2014,UA,EE,2
2014,UA,ES,5
2014,UA,FI,1
2014,UA,FR,6
2014,UA,HR,1
2014,UA,HU,2
2014,UA,IE,3
2014,UA,IT,6
2014,UA,LT,2
2014,UA,LV,2
2014,UA,MT,1
2014,UA,NO,1
2014,UA,PL,41
2014,UA,PT,1
2014,UK,AT,211
2014,UK,BE,223
2014,UK,BG,17
2014,UK,CY,39
2014,UK,CZ,101
2014,UK,DE,1479
2014,UK,DK,194
2014,UK,EE,8
2014,UK,EL,37
